race_id,race_date,horse_number,win_hit,win_payout_yen,win_popularity,place_hit,place_payout_yen,place_popularity
202506010101,2025-01-05,1,0,0,,0,0,
202506010101,2025-01-05,2,0,0,,0,0,
202506010101,2025-01-05,3,0,0,,1,280,6.0
202506010101,2025-01-05,4,0,0,,0,0,
202506010101,2025-01-05,5,0,0,,0,0,
202506010101,2025-01-05,6,0,0,,0,0,
202506010101,2025-01-05,7,0,0,,0,0,
202506010101,2025-01-05,8,0,0,,0,0,
202506010101,2025-01-05,9,0,0,,0,0,
202506010101,2025-01-05,10,0,0,,0,0,
202506010101,2025-01-05,11,1,250,1.0,1,120,1.0
202506010101,2025-01-05,12,0,0,,0,0,
202506010101,2025-01-05,13,0,0,,1,1980,11.0
202506010101,2025-01-05,14,0,0,,0,0,
202506010101,2025-01-05,15,0,0,,0,0,
202506010101,2025-01-05,16,0,0,,0,0,
202506010102,2025-01-05,1,0,0,,0,0,
202506010102,2025-01-05,2,0,0,,1,230,4.0
202506010102,2025-01-05,3,0,0,,0,0,
202506010102,2025-01-05,4,0,0,,0,0,
202506010102,2025-01-05,5,0,0,,0,0,
202506010102,2025-01-05,6,1,730,3.0,1,210,3.0
202506010102,2025-01-05,7,0,0,,0,0,
202506010102,2025-01-05,8,0,0,,0,0,
202506010102,2025-01-05,9,0,0,,0,0,
202506010102,2025-01-05,10,0,0,,0,0,
202506010102,2025-01-05,11,0,0,,0,0,
202506010102,2025-01-05,12,0,0,,1,230,5.0
202506010102,2025-01-05,13,0,0,,0,0,
202506010102,2025-01-05,14,0,0,,0,0,
202506010102,2025-01-05,15,0,0,,0,0,
202506010102,2025-01-05,16,0,0,,0,0,
202506010103,2025-01-05,1,0,0,,0,0,
202506010103,2025-01-05,2,0,0,,0,0,
202506010103,2025-01-05,3,0,0,,0,0,
202506010103,2025-01-05,4,0,0,,0,0,
202506010103,2025-01-05,5,0,0,,0,0,
202506010103,2025-01-05,6,0,0,,0,0,
202506010103,2025-01-05,7,0,0,,1,150,1.0
202506010103,2025-01-05,8,0,0,,0,0,
202506010103,2025-01-05,9,0,0,,0,0,
202506010103,2025-01-05,10,0,0,,0,0,
202506010103,2025-01-05,11,0,0,,0,0,
202506010103,2025-01-05,12,1,890,5.0,1,250,5.0
202506010103,2025-01-05,13,0,0,,0,0,
202506010103,2025-01-05,14,0,0,,0,0,
202506010103,2025-01-05,15,0,0,,0,0,
202506010103,2025-01-05,16,0,0,,1,1570,12.0
202506010104,2025-01-05,1,1,570,2.0,1,260,3.0
202506010104,2025-01-05,2,0,0,,0,0,
202506010104,2025-01-05,3,0,0,,0,0,
202506010104,2025-01-05,4,0,0,,0,0,
202506010104,2025-01-05,5,0,0,,0,0,
202506010104,2025-01-05,6,0,0,,0,0,
202506010104,2025-01-05,7,0,0,,1,710,9.0
202506010104,2025-01-05,8,0,0,,1,410,5.0
202506010104,2025-01-05,9,0,0,,0,0,
202506010104,2025-01-05,10,0,0,,0,0,
202506010104,2025-01-05,11,0,0,,0,0,
202506010104,2025-01-05,12,0,0,,0,0,
202506010104,2025-01-05,13,0,0,,0,0,
202506010104,2025-01-05,14,0,0,,0,0,
202506010104,2025-01-05,15,0,0,,0,0,
202506010104,2025-01-05,16,0,0,,0,0,
202506010105,2025-01-05,1,0,0,,0,0,
202506010105,2025-01-05,2,0,0,,0,0,
202506010105,2025-01-05,3,0,0,,0,0,
202506010105,2025-01-05,4,0,0,,0,0,
202506010105,2025-01-05,5,0,0,,1,270,4.0
202506010105,2025-01-05,6,1,720,3.0,1,320,7.0
202506010105,2025-01-05,7,0,0,,0,0,
202506010105,2025-01-05,8,0,0,,0,0,
202506010105,2025-01-05,9,0,0,,0,0,
202506010105,2025-01-05,10,0,0,,0,0,
202506010105,2025-01-05,11,0,0,,1,180,2.0
202506010105,2025-01-05,12,0,0,,0,0,
202506010105,2025-01-05,13,0,0,,0,0,
202506010105,2025-01-05,14,0,0,,0,0,
202506010105,2025-01-05,15,0,0,,0,0,
202506010105,2025-01-05,16,0,0,,0,0,
202506010106,2025-01-05,1,0,0,,0,0,
202506010106,2025-01-05,2,0,0,,0,0,
202506010106,2025-01-05,3,0,0,,0,0,
202506010106,2025-01-05,4,1,200,1.0,1,130,1.0
202506010106,2025-01-05,5,0,0,,0,0,
202506010106,2025-01-05,6,0,0,,0,0,
202506010106,2025-01-05,7,0,0,,0,0,
202506010106,2025-01-05,8,0,0,,1,240,3.0
202506010106,2025-01-05,9,0,0,,0,0,
202506010106,2025-01-05,10,0,0,,0,0,
202506010106,2025-01-05,11,0,0,,0,0,
202506010106,2025-01-05,12,0,0,,0,0,
202506010106,2025-01-05,13,0,0,,0,0,
202506010106,2025-01-05,14,0,0,,0,0,
202506010106,2025-01-05,15,0,0,,1,1570,16.0
202506010106,2025-01-05,16,0,0,,0,0,
202506010106,2025-01-05,17,0,0,,0,0,
202506010106,2025-01-05,18,0,0,,0,0,
202506010107,2025-01-05,1,0,0,,0,0,
202506010107,2025-01-05,2,0,0,,0,0,
202506010107,2025-01-05,3,0,0,,0,0,
202506010107,2025-01-05,4,0,0,,0,0,
202506010107,2025-01-05,5,0,0,,1,290,4.0
202506010107,2025-01-05,6,0,0,,0,0,
202506010107,2025-01-05,7,0,0,,0,0,
202506010107,2025-01-05,8,0,0,,1,1170,13.0
202506010107,2025-01-05,9,0,0,,0,0,
202506010107,2025-01-05,10,0,0,,0,0,
202506010107,2025-01-05,11,0,0,,0,0,
202506010107,2025-01-05,12,0,0,,0,0,
202506010107,2025-01-05,13,0,0,,0,0,
202506010107,2025-01-05,14,0,0,,0,0,
202506010107,2025-01-05,15,0,0,,0,0,
202506010107,2025-01-05,16,1,3080,9.0,1,810,11.0
202506010108,2025-01-05,1,0,0,,0,0,
202506010108,2025-01-05,2,0,0,,0,0,
202506010108,2025-01-05,3,0,0,,0,0,
202506010108,2025-01-05,4,0,0,,0,0,
202506010108,2025-01-05,5,0,0,,0,0,
202506010108,2025-01-05,6,0,0,,0,0,
202506010108,2025-01-05,7,0,0,,0,0,
202506010108,2025-01-05,8,0,0,,0,0,
202506010108,2025-01-05,9,0,0,,0,0,
202506010108,2025-01-05,10,0,0,,0,0,
202506010108,2025-01-05,11,1,420,2.0,1,190,2.0
202506010108,2025-01-05,12,0,0,,1,310,6.0
202506010108,2025-01-05,13,0,0,,0,0,
202506010108,2025-01-05,14,0,0,,0,0,
202506010108,2025-01-05,15,0,0,,0,0,
202506010108,2025-01-05,16,0,0,,1,260,4.0
202506010109,2025-01-05,1,0,0,,0,0,
202506010109,2025-01-05,2,0,0,,0,0,
202506010109,2025-01-05,3,0,0,,0,0,
202506010109,2025-01-05,4,0,0,,0,0,
202506010109,2025-01-05,5,0,0,,0,0,
202506010109,2025-01-05,6,0,0,,0,0,
202506010109,2025-01-05,7,0,0,,0,0,
202506010109,2025-01-05,8,0,0,,0,0,
202506010109,2025-01-05,9,0,0,,0,0,
202506010109,2025-01-05,10,0,0,,1,790,9.0
202506010109,2025-01-05,11,0,0,,0,0,
202506010109,2025-01-05,12,0,0,,0,0,
202506010109,2025-01-05,13,0,0,,0,0,
202506010109,2025-01-05,14,0,0,,0,0,
202506010109,2025-01-05,15,1,1380,5.0,1,460,5.0
202506010109,2025-01-05,16,0,0,,1,1730,13.0
202506010110,2025-01-05,1,0,0,,0,0,
202506010110,2025-01-05,2,0,0,,0,0,
202506010110,2025-01-05,3,0,0,,0,0,
202506010110,2025-01-05,4,0,0,,0,0,
202506010110,2025-01-05,5,0,0,,0,0,
202506010110,2025-01-05,6,0,0,,0,0,
202506010110,2025-01-05,7,0,0,,1,600,9.0
202506010110,2025-01-05,8,0,0,,0,0,
202506010110,2025-01-05,9,1,180,1.0,1,120,1.0
202506010110,2025-01-05,10,0,0,,1,180,3.0
202506010110,2025-01-05,11,0,0,,0,0,
202506010110,2025-01-05,12,0,0,,0,0,
202506010110,2025-01-05,13,0,0,,0,0,
202506010110,2025-01-05,14,0,0,,0,0,
202506010110,2025-01-05,15,0,0,,0,0,
202506010111,2025-01-05,1,0,0,,0,0,
202506010111,2025-01-05,2,1,840,4.0,1,300,6.0
202506010111,2025-01-05,3,0,0,,0,0,
202506010111,2025-01-05,4,0,0,,0,0,
202506010111,2025-01-05,5,0,0,,0,0,
202506010111,2025-01-05,6,0,0,,0,0,
202506010111,2025-01-05,7,0,0,,1,310,5.0
202506010111,2025-01-05,8,0,0,,0,0,
202506010111,2025-01-05,9,0,0,,0,0,
202506010111,2025-01-05,10,0,0,,0,0,
202506010111,2025-01-05,11,0,0,,0,0,
202506010111,2025-01-05,12,0,0,,0,0,
202506010111,2025-01-05,13,0,0,,0,0,
202506010111,2025-01-05,14,0,0,,0,0,
202506010111,2025-01-05,15,0,0,,0,0,
202506010111,2025-01-05,16,0,0,,1,430,8.0
202506010111,2025-01-05,17,0,0,,0,0,
202506010111,2025-01-05,18,0,0,,0,0,
202506010112,2025-01-05,1,0,0,,0,0,
202506010112,2025-01-05,2,0,0,,0,0,
202506010112,2025-01-05,3,0,0,,0,0,
202506010112,2025-01-05,4,0,0,,0,0,
202506010112,2025-01-05,5,1,730,4.0,1,220,5.0
202506010112,2025-01-05,6,0,0,,1,180,2.0
202506010112,2025-01-05,7,0,0,,0,0,
202506010112,2025-01-05,8,0,0,,0,0,
202506010112,2025-01-05,9,0,0,,0,0,
202506010112,2025-01-05,10,0,0,,0,0,
202506010112,2025-01-05,11,0,0,,0,0,
202506010112,2025-01-05,12,0,0,,0,0,
202506010112,2025-01-05,13,0,0,,0,0,
202506010112,2025-01-05,14,0,0,,0,0,
202506010112,2025-01-05,15,0,0,,0,0,
202506010112,2025-01-05,16,0,0,,1,210,4.0
202507010101,2025-01-05,1,0,0,,0,0,
202507010101,2025-01-05,2,1,530,3.0,1,140,3.0
202507010101,2025-01-05,3,0,0,,0,0,
202507010101,2025-01-05,4,0,0,,1,110,1.0
202507010101,2025-01-05,5,0,0,,0,0,
202507010101,2025-01-05,6,0,0,,0,0,
202507010101,2025-01-05,7,0,0,,0,0,
202507010101,2025-01-05,8,0,0,,0,0,
202507010101,2025-01-05,9,0,0,,0,0,
202507010101,2025-01-05,10,0,0,,1,140,2.0
202507010101,2025-01-05,11,0,0,,0,0,
202507010101,2025-01-05,12,0,0,,0,0,
202507010101,2025-01-05,13,0,0,,0,0,
202507010101,2025-01-05,14,0,0,,0,0,
202507010101,2025-01-05,15,0,0,,0,0,
202507010101,2025-01-05,16,0,0,,0,0,
202507010102,2025-01-05,1,0,0,,0,0,
202507010102,2025-01-05,2,0,0,,0,0,
202507010102,2025-01-05,3,0,0,,0,0,
202507010102,2025-01-05,4,1,490,3.0,1,170,1.0
202507010102,2025-01-05,5,0,0,,0,0,
202507010102,2025-01-05,6,0,0,,0,0,
202507010102,2025-01-05,7,0,0,,0,0,
202507010102,2025-01-05,8,0,0,,0,0,
202507010102,2025-01-05,9,0,0,,0,0,
202507010102,2025-01-05,10,0,0,,0,0,
202507010102,2025-01-05,11,0,0,,0,0,
202507010102,2025-01-05,12,0,0,,1,400,6.0
202507010102,2025-01-05,13,0,0,,0,0,
202507010102,2025-01-05,14,0,0,,0,0,
202507010102,2025-01-05,15,0,0,,1,180,2.0
202507010102,2025-01-05,16,0,0,,0,0,
202507010103,2025-01-05,1,0,0,,0,0,
202507010103,2025-01-05,2,0,0,,0,0,
202507010103,2025-01-05,3,0,0,,0,0,
202507010103,2025-01-05,4,0,0,,0,0,
202507010103,2025-01-05,5,1,150,1.0,1,110,1.0
202507010103,2025-01-05,6,0,0,,0,0,
202507010103,2025-01-05,7,0,0,,0,0,
202507010103,2025-01-05,8,0,0,,0,0,
202507010103,2025-01-05,9,0,0,,0,0,
202507010103,2025-01-05,10,0,0,,0,0,
202507010103,2025-01-05,11,0,0,,0,0,
202507010103,2025-01-05,12,0,0,,0,0,
202507010103,2025-01-05,13,0,0,,1,390,6.0
202507010103,2025-01-05,14,0,0,,0,0,
202507010103,2025-01-05,15,0,0,,0,0,
202507010103,2025-01-05,16,0,0,,1,180,3.0
202507010104,2025-01-05,1,1,440,2.0,1,170,3.0
202507010104,2025-01-05,2,0,0,,0,0,
202507010104,2025-01-05,3,0,0,,0,0,
202507010104,2025-01-05,4,0,0,,0,0,
202507010104,2025-01-05,5,0,0,,1,170,4.0
202507010104,2025-01-05,6,0,0,,0,0,
202507010104,2025-01-05,7,0,0,,0,0,
202507010104,2025-01-05,8,0,0,,0,0,
202507010104,2025-01-05,9,0,0,,0,0,
202507010104,2025-01-05,10,0,0,,0,0,
202507010104,2025-01-05,11,0,0,,0,0,
202507010104,2025-01-05,12,0,0,,0,0,
202507010104,2025-01-05,13,0,0,,0,0,
202507010104,2025-01-05,14,0,0,,0,0,
202507010104,2025-01-05,15,0,0,,0,0,
202507010104,2025-01-05,16,0,0,,1,140,1.0
202507010105,2025-01-05,1,0,0,,0,0,
202507010105,2025-01-05,2,0,0,,0,0,
202507010105,2025-01-05,3,0,0,,0,0,
202507010105,2025-01-05,4,1,460,2.0,1,160,2.0
202507010105,2025-01-05,5,0,0,,0,0,
202507010105,2025-01-05,6,0,0,,0,0,
202507010105,2025-01-05,7,0,0,,0,0,
202507010105,2025-01-05,8,0,0,,0,0,
202507010105,2025-01-05,9,0,0,,0,0,
202507010105,2025-01-05,10,0,0,,0,0,
202507010105,2025-01-05,11,0,0,,0,0,
202507010105,2025-01-05,12,0,0,,0,0,
202507010105,2025-01-05,13,0,0,,0,0,
202507010105,2025-01-05,14,0,0,,0,0,
202507010105,2025-01-05,15,0,0,,0,0,
202507010105,2025-01-05,16,0,0,,0,0,
202507010105,2025-01-05,17,0,0,,1,170,3.0
202507010105,2025-01-05,18,0,0,,1,140,1.0
202507010106,2025-01-05,1,0,0,,0,0,
202507010106,2025-01-05,2,0,0,,0,0,
202507010106,2025-01-05,3,0,0,,0,0,
202507010106,2025-01-05,4,1,170,1.0,1,110,1.0
202507010106,2025-01-05,5,0,0,,0,0,
202507010106,2025-01-05,6,0,0,,0,0,
202507010106,2025-01-05,7,0,0,,0,0,
202507010106,2025-01-05,8,0,0,,1,150,2.0
202507010106,2025-01-05,9,0,0,,0,0,
202507010106,2025-01-05,10,0,0,,0,0,
202507010106,2025-01-05,11,0,0,,0,0,
202507010106,2025-01-05,12,0,0,,0,0,
202507010106,2025-01-05,13,0,0,,0,0,
202507010106,2025-01-05,14,0,0,,1,160,3.0
202507010106,2025-01-05,15,0,0,,0,0,
202507010106,2025-01-05,16,0,0,,0,0,
202507010107,2025-01-05,1,0,0,,0,0,
202507010107,2025-01-05,2,1,570,4.0,1,150,4.0
202507010107,2025-01-05,3,0,0,,0,0,
202507010107,2025-01-05,4,0,0,,0,0,
202507010107,2025-01-05,5,0,0,,0,0,
202507010107,2025-01-05,6,0,0,,0,0,
202507010107,2025-01-05,7,0,0,,1,150,3.0
202507010107,2025-01-05,8,0,0,,0,0,
202507010107,2025-01-05,9,0,0,,1,110,1.0
202507010108,2025-01-05,1,0,0,,0,0,
202507010108,2025-01-05,2,0,0,,0,0,
202507010108,2025-01-05,3,0,0,,0,0,
202507010108,2025-01-05,4,0,0,,1,290,5.0
202507010108,2025-01-05,5,0,0,,0,0,
202507010108,2025-01-05,6,0,0,,0,0,
202507010108,2025-01-05,7,0,0,,0,0,
202507010108,2025-01-05,8,0,0,,0,0,
202507010108,2025-01-05,9,1,4880,12.0,1,990,11.0
202507010108,2025-01-05,10,0,0,,0,0,
202507010108,2025-01-05,11,0,0,,0,0,
202507010108,2025-01-05,12,0,0,,0,0,
202507010108,2025-01-05,13,0,0,,0,0,
202507010108,2025-01-05,14,0,0,,1,380,7.0
202507010108,2025-01-05,15,0,0,,0,0,
202507010108,2025-01-05,16,0,0,,0,0,
202507010109,2025-01-05,1,0,0,,0,0,
202507010109,2025-01-05,2,0,0,,1,110,1.0
202507010109,2025-01-05,3,0,0,,1,280,6.0
202507010109,2025-01-05,4,0,0,,0,0,
202507010109,2025-01-05,5,1,320,2.0,1,140,3.0
202507010109,2025-01-05,6,0,0,,0,0,
202507010109,2025-01-05,7,0,0,,0,0,
202507010109,2025-01-05,8,0,0,,0,0,
202507010109,2025-01-05,9,0,0,,0,0,
202507010109,2025-01-05,10,0,0,,0,0,
202507010109,2025-01-05,11,0,0,,0,0,
202507010110,2025-01-05,1,0,0,,0,0,
202507010110,2025-01-05,2,0,0,,1,1120,12.0
202507010110,2025-01-05,3,0,0,,1,340,5.0
202507010110,2025-01-05,4,0,0,,0,0,
202507010110,2025-01-05,5,0,0,,0,0,
202507010110,2025-01-05,6,0,0,,0,0,
202507010110,2025-01-05,7,0,0,,0,0,
202507010110,2025-01-05,8,0,0,,0,0,
202507010110,2025-01-05,9,0,0,,0,0,
202507010110,2025-01-05,10,1,470,2.0,1,210,3.0
202507010110,2025-01-05,11,0,0,,0,0,
202507010110,2025-01-05,12,0,0,,0,0,
202507010110,2025-01-05,13,0,0,,0,0,
202507010110,2025-01-05,14,0,0,,0,0,
202507010110,2025-01-05,15,0,0,,0,0,
202507010110,2025-01-05,16,0,0,,0,0,
202507010111,2025-01-05,1,0,0,,1,210,2.0
202507010111,2025-01-05,2,0,0,,0,0,
202507010111,2025-01-05,3,0,0,,0,0,
202507010111,2025-01-05,4,0,0,,0,0,
202507010111,2025-01-05,5,0,0,,0,0,
202507010111,2025-01-05,6,0,0,,0,0,
202507010111,2025-01-05,7,1,1200,6.0,1,370,7.0
202507010111,2025-01-05,8,0,0,,0,0,
202507010111,2025-01-05,9,0,0,,0,0,
202507010111,2025-01-05,10,0,0,,0,0,
202507010111,2025-01-05,11,0,0,,0,0,
202507010111,2025-01-05,12,0,0,,0,0,
202507010111,2025-01-05,13,0,0,,0,0,
202507010111,2025-01-05,14,0,0,,0,0,
202507010111,2025-01-05,15,0,0,,0,0,
202507010111,2025-01-05,16,0,0,,1,240,4.0
202507010112,2025-01-05,1,0,0,,0,0,
202507010112,2025-01-05,2,0,0,,1,280,4.0
202507010112,2025-01-05,3,0,0,,0,0,
202507010112,2025-01-05,4,0,0,,0,0,
202507010112,2025-01-05,5,0,0,,0,0,
202507010112,2025-01-05,6,1,1120,5.0,1,280,5.0
202507010112,2025-01-05,7,0,0,,0,0,
202507010112,2025-01-05,8,0,0,,0,0,
202507010112,2025-01-05,9,0,0,,0,0,
202507010112,2025-01-05,10,0,0,,1,150,1.0
202507010112,2025-01-05,11,0,0,,0,0,
202507010112,2025-01-05,12,0,0,,0,0,
202507010112,2025-01-05,13,0,0,,0,0,
202507010112,2025-01-05,14,0,0,,0,0,
202507010112,2025-01-05,15,0,0,,0,0,
202507010112,2025-01-05,16,0,0,,0,0,
202506010201,2025-01-06,1,0,0,,0,0,
202506010201,2025-01-06,2,0,0,,1,310,5.0
202506010201,2025-01-06,3,0,0,,0,0,
202506010201,2025-01-06,4,1,470,3.0,1,190,2.0
202506010201,2025-01-06,5,0,0,,0,0,
202506010201,2025-01-06,6,0,0,,0,0,
202506010201,2025-01-06,7,0,0,,0,0,
202506010201,2025-01-06,8,0,0,,0,0,
202506010201,2025-01-06,9,0,0,,0,0,
202506010201,2025-01-06,10,0,0,,0,0,
202506010201,2025-01-06,11,0,0,,0,0,
202506010201,2025-01-06,12,0,0,,0,0,
202506010201,2025-01-06,13,0,0,,0,0,
202506010201,2025-01-06,14,0,0,,0,0,
202506010201,2025-01-06,15,0,0,,0,0,
202506010201,2025-01-06,16,0,0,,1,560,6.0
